PG,SG,SF,PF,C,G,F,UTIL,,Instructions,,,,,,,,
13993209,13992951,13993004,13992942,13993030,13992882,13992874,13992998,,1. Locate the player you want to select in the list below ,,,,,,,,
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,,
,,,,,,,,,3. Paste the ID into the roster position desired ,,,,,,,,
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,,,
,,,,,,,,,5. You can create up to 500 lineups per file ,,,,,,,,
 ,,,,,,,,,,,,,,,,,
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,PF,DeMarcus Cousins (13993319),DeMarcus Cousins,13993319,PF/F/UTIL,3000,LAL@MIL 12/19/2019 08:00PM ET,LAL,0
,,,,,,,,,SG,Troy Daniels (13993322),Troy Daniels,13993322,SG/G/UTIL,3000,LAL@MIL 12/19/2019 08:00PM ET,LAL,8.1
,,,,,,,,,PG,Quinn Cook (13993325),Quinn Cook,13993325,PG/G/UTIL,3000,LAL@MIL 12/19/2019 08:00PM ET,LAL,9.29
,,,,,,,,,PF,Devontae Cacok (13993328),Devontae Cacok,13993328,PF/F/UTIL,3000,LAL@MIL 12/19/2019 08:00PM ET,LAL,0
,,,,,,,,,SF/PF,Kostas Antetokounmpo (13993331),Kostas Antetokounmpo,13993331,SF/PF/F/UTIL,3000,LAL@MIL 12/19/2019 08:00PM ET,LAL,0.62
,,,,,,,,,PG,Zach Norvell Jr. (13993335),Zach Norvell Jr.,13993335,PG/G/UTIL,3000,LAL@MIL 12/19/2019 08:00PM ET,LAL,0.62
,,,,,,,,,SG/SF,Talen Horton-Tucker (13993338),Talen Horton-Tucker,13993338,SG/SF/F/G/UTIL,3000,LAL@MIL 12/19/2019 08:00PM ET,LAL,1.5
,,,,,,,,,SF/PF,Dzanan Musa (13993168),Dzanan Musa,13993168,SF/PF/F/UTIL,3000,BKN@SA 12/19/2019 08:30PM ET,BKN,9.73
,,,,,,,,,SF,DeMarre Carroll (13993241),DeMarre Carroll,13993241,SF/F/UTIL,3000,BKN@SA 12/19/2019 08:30PM ET,SA,7.57
,,,,,,,,,SG/SF,Marco Belinelli (13993244),Marco Belinelli,13993244,SG/SF/F/G/UTIL,3000,BKN@SA 12/19/2019 08:30PM ET,SA,10.12
,,,,,,,,,PF/C,Drew Eubanks (13993249),Drew Eubanks,13993249,PF/C/F/UTIL,3000,BKN@SA 12/19/2019 08:30PM ET,SA,7.56
,,,,,,,,,PF/C,Chimezie Metu (13993253),Chimezie Metu,13993253,PF/C/F/UTIL,3000,BKN@SA 12/19/2019 08:30PM ET,SA,6.12
,,,,,,,,,PG,Quinndary Weatherspoon (13993257),Quinndary Weatherspoon,13993257,PG/G/UTIL,3000,BKN@SA 12/19/2019 08:30PM ET,SA,0
,,,,,,,,,SG/SF,Keldon Johnson (13993260),Keldon Johnson,13993260,SG/SF/F/G/UTIL,3000,BKN@SA 12/19/2019 08:30PM ET,SA,0
,,,,,,,,,SF/PF,Luka Samanic (13993265),Luka Samanic,13993265,SF/PF/F/UTIL,3000,BKN@SA 12/19/2019 08:30PM ET,SA,0
,,,,,,,,,SF/PF,Kevin Durant (13993343),Kevin Durant,13993343,SF/PF/F/UTIL,3000,BKN@SA 12/19/2019 08:30PM ET,BKN,0
,,,,,,,,,PG/SG,Theo Pinson (13993347),Theo Pinson,13993347,PG/SG/G/UTIL,3000,BKN@SA 12/19/2019 08:30PM ET,BKN,11.44
,,,,,,,,,PF/C,Henry Ellenson (13993351),Henry Ellenson,13993351,PF/C/F/UTIL,3000,BKN@SA 12/19/2019 08:30PM ET,BKN,2.33
,,,,,,,,,PF/C,Nicolas Claxton (13993355),Nicolas Claxton,13993355,PF/C/F/UTIL,3000,BKN@SA 12/19/2019 08:30PM ET,BKN,8.89
,,,,,,,,,SF/PF,Rodions Kurucs (13993359),Rodions Kurucs,13993359,SF/PF/F/UTIL,3000,BKN@SA 12/19/2019 08:30PM ET,BKN,6.79
,,,,,,,,,SG/SF,Allen Crabbe (13993172),Allen Crabbe,13993172,SG/SF/F/G/UTIL,3000,UTA@ATL 12/19/2019 07:30PM ET,ATL,11.59
,,,,,,,,,SF/PF,Jeff Green (13993189),Jeff Green,13993189,SF/PF/F/UTIL,3000,UTA@ATL 12/19/2019 07:30PM ET,UTA,13.89
,,,,,,,,,PG/SF,Evan Turner (13993196),Evan Turner,13993196,PG/SF/F/G/UTIL,3000,UTA@ATL 12/19/2019 07:30PM ET,ATL,11.2
,,,,,,,,,SF/PF,Chandler Parsons (13993201),Chandler Parsons,13993201,SF/PF/F/UTIL,3000,UTA@ATL 12/19/2019 07:30PM ET,ATL,8.38
,,,,,,,,,PG/SG,Brandon Goodwin (13993205),Brandon Goodwin,13993205,PG/SG/G/UTIL,3000,UTA@ATL 12/19/2019 07:30PM ET,ATL,-0.5
,,,,,,,,,PG/SG,DeAndre' Bembry (13993209),DeAndre' Bembry,13993209,PG/SG/G/UTIL,3000,UTA@ATL 12/19/2019 07:30PM ET,ATL,18.08
,,,,,,,,,SG/SF,Charlie Brown (13993213),Charlie Brown,13993213,SG/SF/F/G/UTIL,3000,UTA@ATL 12/19/2019 07:30PM ET,ATL,3.31
,,,,,,,,,C,Bruno Fernando (13993218),Bruno Fernando,13993218,C/UTIL,3000,UTA@ATL 12/19/2019 07:30PM ET,ATL,9.72
,,,,,,,,,PF/C,Ed Davis (13993287),Ed Davis,13993287,PF/C/F/UTIL,3000,UTA@ATL 12/19/2019 07:30PM ET,UTA,9.5
,,,,,,,,,SF/PF,Georges Niang (13993291),Georges Niang,13993291,SF/PF/F/UTIL,3000,UTA@ATL 12/19/2019 07:30PM ET,UTA,7.76
,,,,,,,,,PG,Nigel Williams-Goss (13993295),Nigel Williams-Goss,13993295,PG/G/UTIL,3000,UTA@ATL 12/19/2019 07:30PM ET,UTA,1.29
,,,,,,,,,PG/SG,Dante Exum (13993298),Dante Exum,13993298,PG/SG/G/UTIL,3000,UTA@ATL 12/19/2019 07:30PM ET,UTA,4.68
,,,,,,,,,SF/PF,Jarrell Brantley (13993302),Jarrell Brantley,13993302,SF/PF/F/UTIL,3000,UTA@ATL 12/19/2019 07:30PM ET,UTA,5
,,,,,,,,,PG,Justin Wright-Foreman (13993306),Justin Wright-Foreman,13993306,PG/G/UTIL,3000,UTA@ATL 12/19/2019 07:30PM ET,UTA,0
,,,,,,,,,PF,Juwan Morgan (13993309),Juwan Morgan,13993309,PF/F/UTIL,3000,UTA@ATL 12/19/2019 07:30PM ET,UTA,0.67
,,,,,,,,,C,Tony Bradley (13993312),Tony Bradley,13993312,C/UTIL,3000,UTA@ATL 12/19/2019 07:30PM ET,UTA,9.96
,,,,,,,,,SG/SF,Miye Oni (13993314),Miye Oni,13993314,SG/SF/F/G/UTIL,3000,UTA@ATL 12/19/2019 07:30PM ET,UTA,0.25
