Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF/C,Frank Kaminsky (14009576),Frank Kaminsky,14009576,PF/C/F/UTIL,6200,HOU@PHO 12/21/2019 09:00PM ET,PHO,23.53
PG,Eric Bledsoe (14009584),Eric Bledsoe,14009584,PG/G/UTIL,6100,MIL@NY 12/21/2019 07:30PM ET,MIL,31.72
C,Mitchell Robinson (14009587),Mitchell Robinson,14009587,C/UTIL,6100,MIL@NY 12/21/2019 07:30PM ET,NY,24.72
SF/PF,Marcus Morris Sr. (14009589),Marcus Morris Sr.,14009589,SF/PF/F/UTIL,6000,MIL@NY 12/21/2019 07:30PM ET,NY,31.24
SG/SF,Josh Richardson (14009596),Josh Richardson,14009596,SG/SF/F/G/UTIL,6000,WAS@PHI 12/21/2019 07:00PM ET,PHI,27
PG,Dejounte Murray (14009593),Dejounte Murray,14009593,PG/G/UTIL,6000,LAC@SA 12/21/2019 08:30PM ET,SA,27.40
PG,Jeff Teague (14009601),Jeff Teague,14009601,PG/G/UTIL,5900,MIN@POR 12/21/2019 10:00PM ET,MIN,29.49
PF/C,Brandon Clarke (14009604),Brandon Clarke,14009604,PF/C/F/UTIL,5800,SAC@MEM 12/21/2019 08:00PM ET,MEM,24.5
SF/PF,Robert Covington (14009608),Robert Covington,14009608,SF/PF/F/UTIL,5700,MIN@POR 12/21/2019 10:00PM ET,MIN,25.85
PG/SG,RJ Barrett (14009616),RJ Barrett,14009616,PG/SG/G/UTIL,5600,MIL@NY 12/21/2019 07:30PM ET,NY,27.21
PF/C,Rui Hachimura (14009612),Rui Hachimura,14009612,PF/C/F/UTIL,5600,WAS@PHI 12/21/2019 07:00PM ET,WAS,25.17
PF/C,Markieff Morris (14009620),Markieff Morris,14009620,PF/C/F/UTIL,5500,CHI@DET 12/21/2019 07:00PM ET,DET,19.72
PG/SF,Donte DiVincenzo (14009632),Donte DiVincenzo,14009632,PG/SF/F/G/UTIL,5400,MIL@NY 12/21/2019 07:30PM ET,MIL,20.64
PF/C,Thomas Bryant (14009624),Thomas Bryant,14009624,PF/C/F/UTIL,5400,WAS@PHI 12/21/2019 07:00PM ET,WAS,31.49
PF/C,Marvin Bagley III (14009628),Marvin Bagley III,14009628,PF/C/F/UTIL,5400,SAC@MEM 12/21/2019 08:00PM ET,SAC,25.96
SF/PF,Harrison Barnes (14009637),Harrison Barnes,14009637,SF/PF/F/UTIL,5300,SAC@MEM 12/21/2019 08:00PM ET,SAC,27.14
PG/SF,Tomas Satoransky (14009641),Tomas Satoransky,14009641,PG/SF/F/G/UTIL,5200,CHI@DET 12/21/2019 07:00PM ET,CHI,24.67
PG/SG,Patrick Beverley (14009651),Patrick Beverley,14009651,PG/SG/G/UTIL,5200,LAC@SA 12/21/2019 08:30PM ET,LAC,24.75
SG/SF,Dillon Brooks (14009646),Dillon Brooks,14009646,SG/SF/F/G/UTIL,5200,SAC@MEM 12/21/2019 08:00PM ET,MEM,25.14
SG/SF,Luke Kennard (14009655),Luke Kennard,14009655,SG/SF/F/G/UTIL,5100,CHI@DET 12/21/2019 07:00PM ET,DET,28.26
PF/C,Richaun Holmes (14009660),Richaun Holmes,14009660,PF/C/F/UTIL,5100,SAC@MEM 12/21/2019 08:00PM ET,SAC,28.56
SG/SF,Bogdan Bogdanovic (14009664),Bogdan Bogdanovic,14009664,SG/SF/F/G/UTIL,5100,SAC@MEM 12/21/2019 08:00PM ET,SAC,26.8
SF/PF,Jae Crowder (14009669),Jae Crowder,14009669,SF/PF/F/UTIL,5100,SAC@MEM 12/21/2019 08:00PM ET,MEM,25.53
PF/C,Moritz Wagner (14009677),Moritz Wagner,14009677,PF/C/F/UTIL,5000,WAS@PHI 12/21/2019 07:00PM ET,WAS,23.49
PG,Isaiah Thomas (14009693),Isaiah Thomas,14009693,PG/G/UTIL,5000,WAS@PHI 12/21/2019 07:00PM ET,WAS,24.4
SF/PF,Otto Porter Jr. (14009681),Otto Porter Jr.,14009681,SF/PF/F/UTIL,5000,CHI@DET 12/21/2019 07:00PM ET,CHI,21.03
PG/SF,Kris Dunn (14009685),Kris Dunn,14009685,PG/SF/F/G/UTIL,5000,CHI@DET 12/21/2019 07:00PM ET,CHI,20.22
SF/PF,Dario Saric (14009673),Dario Saric,14009673,SF/PF/F/UTIL,5000,HOU@PHO 12/21/2019 09:00PM ET,PHO,26.98
PF,Nemanja Bjelica (14009690),Nemanja Bjelica,14009690,PF/F/UTIL,5000,SAC@MEM 12/21/2019 08:00PM ET,SAC,26.73
PF/C,Christian Wood (14009696),Christian Wood,14009696,PF/C/F/UTIL,4900,CHI@DET 12/21/2019 07:00PM ET,DET,18.46
PG/SG,Bruce Brown Jr. (14009700),Bruce Brown Jr.,14009700,PG/SG/G/UTIL,4900,CHI@DET 12/21/2019 07:00PM ET,DET,21.87
PF/C,Bobby Portis (14009704),Bobby Portis,14009704,PF/C/F/UTIL,4800,MIL@NY 12/21/2019 07:30PM ET,NY,21.12
