PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,SF/PF,OG Anunoby (14003887),OG Anunoby,14003887,SF/PF/F/UTIL,5600,WAS@TOR 12/20/2019 07:30PM ET,TOR,25.54
,,,,,,,,,PF/C,Thomas Bryant (14003895),Thomas Bryant,14003895,PF/C/F/UTIL,5600,WAS@TOR 12/20/2019 07:30PM ET,WAS,31.49
,,,,,,,,,PF/C,Marvin Bagley III (14003904),Marvin Bagley III,14003904,PF/C/F/UTIL,5600,SAC@IND 12/20/2019 07:00PM ET,SAC,25
,,,,,,,,,SG/SF,Josh Richardson (14003899),Josh Richardson,14003899,SG/SF/F/G/UTIL,5600,DAL@PHI 12/20/2019 08:00PM ET,PHI,27
,,,,,,,,,PF/C,Brandon Clarke (14003891),Brandon Clarke,14003891,PF/C/F/UTIL,5600,MEM@CLE 12/20/2019 07:00PM ET,MEM,25.10
,,,,,,,,,PG,Goran Dragic (14003912),Goran Dragic,14003912,PG/G/UTIL,5500,NY@MIA 12/20/2019 08:00PM ET,MIA,29.03
,,,,,,,,,PG,Elfrid Payton (14003925),Elfrid Payton,14003925,PG/G/UTIL,5500,NY@MIA 12/20/2019 08:00PM ET,NY,23.14
,,,,,,,,,SG/SF,Luke Kennard (14003915),Luke Kennard,14003915,SG/SF/F/G/UTIL,5500,DET@BOS 12/20/2019 07:30PM ET,DET,28.26
,,,,,,,,,SG/SF,Josh Hart (14003920),Josh Hart,14003920,SG/SF/F/G/UTIL,5500,NO@GS 12/20/2019 10:30PM ET,NO,24.89
,,,,,,,,,PG/SG,Collin Sexton (14003908),Collin Sexton,14003908,PG/SG/G/UTIL,5500,MEM@CLE 12/20/2019 07:00PM ET,CLE,26.75
,,,,,,,,,PF/C,Bobby Portis (14003937),Bobby Portis,14003937,PF/C/F/UTIL,5400,NY@MIA 12/20/2019 08:00PM ET,NY,20.05
,,,,,,,,,PG/SG,Alec Burks (14003928),Alec Burks,14003928,PG/SG/G/UTIL,5400,NO@GS 12/20/2019 10:30PM ET,GS,28.20
,,,,,,,,,SG/SF,JJ Redick (14003932),JJ Redick,14003932,SG/SF/F/G/UTIL,5400,NO@GS 12/20/2019 10:30PM ET,NO,25.02
,,,,,,,,,C,Marc Gasol (14003947),Marc Gasol,14003947,C/UTIL,5300,WAS@TOR 12/20/2019 07:30PM ET,TOR,23.93
,,,,,,,,,C,Myles Turner (14003941),Myles Turner,14003941,C/UTIL,5300,SAC@IND 12/20/2019 07:00PM ET,IND,26.49
,,,,,,,,,SF/PF,Harrison Barnes (14003949),Harrison Barnes,14003949,SF/PF/F/UTIL,5300,SAC@IND 12/20/2019 07:00PM ET,SAC,27.86
,,,,,,,,,SF/PF,Dario Saric (14003943),Dario Saric,14003943,SF/PF/F/UTIL,5300,PHO@OKC 12/20/2019 08:00PM ET,PHO,26.80
,,,,,,,,,SF/PF,Eric Paschall (14003953),Eric Paschall,14003953,SF/PF/F/UTIL,5300,NO@GS 12/20/2019 10:30PM ET,GS,25.85
,,,,,,,,,PG,Lonzo Ball (14003957),Lonzo Ball,14003957,PG/G/UTIL,5300,NO@GS 12/20/2019 10:30PM ET,NO,26.67
,,,,,,,,,SG/SF,Tim Hardaway Jr. (14003960),Tim Hardaway Jr.,14003960,SG/SF/F/G/UTIL,5300,DAL@PHI 12/20/2019 08:00PM ET,DAL,20.85
,,,,,,,,,PF/C,Moritz Wagner (14003965),Moritz Wagner,14003965,PF/C/F/UTIL,5200,WAS@TOR 12/20/2019 07:30PM ET,WAS,23.49
,,,,,,,,,SG/SF,Troy Brown (14003969),Troy Brown,14003969,SG/SF/F/G/UTIL,5200,WAS@TOR 12/20/2019 07:30PM ET,WAS,20.80
,,,,,,,,,SF/PF,Jae Crowder (14003974),Jae Crowder,14003974,SF/PF/F/UTIL,5200,MEM@CLE 12/20/2019 07:00PM ET,MEM,25.58
,,,,,,,,,PG,Isaiah Thomas (14003989),Isaiah Thomas,14003989,PG/G/UTIL,5100,WAS@TOR 12/20/2019 07:30PM ET,WAS,24.34
,,,,,,,,,SG,Tyler Herro (14003978),Tyler Herro,14003978,SG/G/UTIL,5100,NY@MIA 12/20/2019 08:00PM ET,MIA,24.10
,,,,,,,,,PF/C,Christian Wood (14003981),Christian Wood,14003981,PF/C/F/UTIL,5100,DET@BOS 12/20/2019 07:30PM ET,DET,18.46
,,,,,,,,,PG/SG,Bruce Brown Jr. (14003985),Bruce Brown Jr.,14003985,PG/SG/G/UTIL,5100,DET@BOS 12/20/2019 07:30PM ET,DET,21.82
,,,,,,,,,PG/SG,Marcus Smart (14003992),Marcus Smart,14003992,PG/SG/G/UTIL,5100,DET@BOS 12/20/2019 07:30PM ET,BOS,26.69
,,,,,,,,,PF/C,Derrick Favors (14003996),Derrick Favors,14003996,PF/C/F/UTIL,5100,NO@GS 12/20/2019 10:30PM ET,NO,23.15
,,,,,,,,,PG,Ish Smith (14004012),Ish Smith,14004012,PG/G/UTIL,5000,WAS@TOR 12/20/2019 07:30PM ET,WAS,21.91
,,,,,,,,,SG/SF,Bogdan Bogdanovic (14004000),Bogdan Bogdanovic,14004000,SG/SF/F/G/UTIL,5000,SAC@IND 12/20/2019 07:00PM ET,SAC,26.8
,,,,,,,,,PF,Nemanja Bjelica (14004005),Nemanja Bjelica,14004005,PF/F/UTIL,5000,SAC@IND 12/20/2019 07:00PM ET,SAC,26.82
,,,,,,,,,PF/C,Richaun Holmes (14004008),Richaun Holmes,14004008,PF/C/F/UTIL,5000,SAC@IND 12/20/2019 07:00PM ET,SAC,28.39
,,,,,,,,,PF/C,Markieff Morris (14004015),Markieff Morris,14004015,PF/C/F/UTIL,5000,DET@BOS 12/20/2019 07:30PM ET,DET,19.49
,,,,,,,,,PG/SG,Markelle Fultz (14004030),Markelle Fultz,14004030,PG/SG/G/UTIL,4900,ORL@POR 12/20/2019 10:00PM ET,ORL,23.45
,,,,,,,,,SF/PF,T.J. Warren (14004019),T.J. Warren,14004019,SF/PF/F/UTIL,4900,SAC@IND 12/20/2019 07:00PM ET,IND,26.26
,,,,,,,,,SG/SF,Mikal Bridges (14004034),Mikal Bridges,14004034,SG/SF/F/G/UTIL,4900,PHO@OKC 12/20/2019 08:00PM ET,PHO,17.33
,,,,,,,,,C,Willie Cauley-Stein (14004023),Willie Cauley-Stein,14004023,C/UTIL,4900,NO@GS 12/20/2019 10:30PM ET,GS,22.86
,,,,,,,,,C,Gorgui Dieng (14004039),Gorgui Dieng,14004039,C/UTIL,4900,MIN@DEN 12/20/2019 09:00PM ET,MIN,14.58
,,,,,,,,,PG/SG,Seth Curry (14004041),Seth Curry,14004041,PG/SG/G/UTIL,4900,DAL@PHI 12/20/2019 08:00PM ET,DAL,17.59
,,,,,,,,,SG/SF,Dillon Brooks (14004025),Dillon Brooks,14004025,SG/SF/F/G/UTIL,4900,MEM@CLE 12/20/2019 07:00PM ET,MEM,24.67
,,,,,,,,,SG/SF,Duncan Robinson (14004050),Duncan Robinson,14004050,SG/SF/F/G/UTIL,4800,NY@MIA 12/20/2019 08:00PM ET,MIA,20.30
,,,,,,,,,SG/SF,Terrence Ross (14004055),Terrence Ross,14004055,SG/SF/F/G/UTIL,4800,ORL@POR 12/20/2019 10:00PM ET,ORL,20.61
,,,,,,,,,SG/SF,Kent Bazemore (14004060),Kent Bazemore,14004060,SG/SF/F/G/UTIL,4800,ORL@POR 12/20/2019 10:00PM ET,POR,18.38
,,,,,,,,,SG/SF,Jeremy Lamb (14004045),Jeremy Lamb,14004045,SG/SF/F/G/UTIL,4800,SAC@IND 12/20/2019 07:00PM ET,IND,27.03
,,,,,,,,,C,Ian Mahinmi (14004069),Ian Mahinmi,14004069,C/UTIL,4700,WAS@TOR 12/20/2019 07:30PM ET,WAS,18.17
,,,,,,,,,SF/PF,Derrick Jones Jr. (14004065),Derrick Jones Jr.,14004065,SF/PF/F/UTIL,4700,NY@MIA 12/20/2019 08:00PM ET,MIA,16.04
,,,,,,,,,PG,D.J. Augustin (14004071),D.J. Augustin,14004071,PG/G/UTIL,4700,ORL@POR 12/20/2019 10:00PM ET,ORL,21.91
,,,,,,,,,C,Jaxson Hayes (14004074),Jaxson Hayes,14004074,C/UTIL,4700,NO@GS 12/20/2019 10:30PM ET,NO,19.60
,,,,,,,,,SG/SF,Justin Holiday (14004080),Justin Holiday,14004080,SG/SF/F/G/UTIL,4600,SAC@IND 12/20/2019 07:00PM ET,IND,18.65
,,,,,,,,,PF/C,Paul Millsap (14004085),Paul Millsap,14004085,PF/C/F/UTIL,4600,MIN@DEN 12/20/2019 09:00PM ET,DEN,25.52
,,,,,,,,,SG,Gary Harris (14004089),Gary Harris,14004089,SG/G/UTIL,4600,MIN@DEN 12/20/2019 09:00PM ET,DEN,21.10
,,,,,,,,,PG/SG,De'Anthony Melton (14004076),De'Anthony Melton,14004076,PG/SG/G/UTIL,4600,MEM@CLE 12/20/2019 07:00PM ET,MEM,17.78
,,,,,,,,,PF/C,Marquese Chriss (14004099),Marquese Chriss,14004099,PF/C/F/UTIL,4500,NO@GS 12/20/2019 10:30PM ET,GS,19.83
,,,,,,,,,SG/SF,Glenn Robinson III (14004103),Glenn Robinson III,14004103,SG/SF/F/G/UTIL,4500,NO@GS 12/20/2019 10:30PM ET,GS,22.59
,,,,,,,,,PF/C,Mason Plumlee (14004092),Mason Plumlee,14004092,PF/C/F/UTIL,4500,MIN@DEN 12/20/2019 09:00PM ET,DEN,19.75
,,,,,,,,,PG,Darius Garland (14004096),Darius Garland,14004096,PG/G/UTIL,4500,MEM@CLE 12/20/2019 07:00PM ET,CLE,18.85
,,,,,,,,,C,Enes Kanter (14004113),Enes Kanter,14004113,C/UTIL,4400,DET@BOS 12/20/2019 07:30PM ET,BOS,19.49
,,,,,,,,,SF/PF,Dorian Finney-Smith (14004115),Dorian Finney-Smith,14004115,SF/PF/F/UTIL,4400,DAL@PHI 12/20/2019 08:00PM ET,DAL,19.26
,,,,,,,,,SG/SF,Jordan Clarkson (14004108),Jordan Clarkson,14004108,SG/SF/F/G/UTIL,4400,MEM@CLE 12/20/2019 07:00PM ET,CLE,22.42
,,,,,,,,,PG/SG,Jordan McRae (14004131),Jordan McRae,14004131,PG/SG/G/UTIL,4300,WAS@TOR 12/20/2019 07:30PM ET,WAS,17.86
,,,,,,,,,PF/C,Zach Collins (14004127),Zach Collins,14004127,PF/C/F/UTIL,4300,ORL@POR 12/20/2019 10:00PM ET,POR,17.83
,,,,,,,,,PG/SG,Aaron Holiday (14004119),Aaron Holiday,14004119,PG/SG/G/UTIL,4300,SAC@IND 12/20/2019 07:00PM ET,IND,19.01
,,,,,,,,,PF/C,Jerami Grant (14004123),Jerami Grant,14004123,PF/C/F/UTIL,4300,MIN@DEN 12/20/2019 09:00PM ET,DEN,17.85
,,,,,,,,,C,Anzejs Pasecniks (14004142),Anzejs Pasecniks,14004142,C/UTIL,4200,WAS@TOR 12/20/2019 07:30PM ET,WAS,19.5
,,,,,,,,,C,Aron Baynes (14004135),Aron Baynes,14004135,C/UTIL,4200,PHO@OKC 12/20/2019 08:00PM ET,PHO,26.11
,,,,,,,,,SG/SF,Josh Okogie (14004137),Josh Okogie,14004137,SG/SF/F/G/UTIL,4200,MIN@DEN 12/20/2019 09:00PM ET,MIN,19.5
